  0.000000   0.0   0.0,   0.0  0.000000  0.000000   408     0.007     0.000     0.007     0.007
  0.000000   0.0   0.0,   0.0  0.010000 -0.000000   363   140.091    -0.000     0.013     0.009
  0.000000   0.0   0.0,   0.0  0.000000  0.010000   364     0.007   140.083     0.009     0.012
  0.000000   0.0   0.0,   0.0 -0.010000  0.000000   363  -140.075    -0.000     0.012     0.009
  0.000000   0.0   0.0,   0.0 -0.000000 -0.010000   364     0.007  -140.083     0.009     0.012
  0.000220   0.0   0.0,   0.0  0.000000  0.000000   408     0.007     0.000     0.007     0.007
  0.000220   0.0   0.0,   0.0  0.009998 -0.000000   363   140.060    -0.000     0.013     0.009
  0.000220   0.0   0.0,   0.0  0.000000  0.009998   364     0.007   140.052     0.009     0.012
  0.000220   0.0   0.0,   0.0 -0.009998  0.000000   363  -140.044    -0.000     0.012     0.009
  0.000220   0.0   0.0,   0.0 -0.000000 -0.009998   364     0.007  -140.052     0.009     0.012
  0.000220   0.0  90.0, -90.0  0.000000  0.000000   408     0.000     4.973     0.008     0.008
  0.000220   0.0  90.0, -90.0  0.009998 -0.000000   363   140.052     5.012     0.012     0.009
  0.000220   0.0  90.0, -90.0  0.000000  0.009998   364     0.000   145.097     0.009     0.012
  0.000220   0.0  90.0, -90.0 -0.009998  0.000000   363  -140.052     5.012     0.012     0.009
  0.000220   0.0  90.0, -90.0 -0.000000 -0.009998   364     0.000  -135.011     0.010     0.013
  0.000220  45.0   0.0,   0.0 -0.000000 -0.000220   408     0.007    -3.065     0.007     0.007
  0.000220  45.0   0.0,   0.0  0.009998 -0.000220   363   140.060    -3.082     0.013     0.009
  0.000220  45.0   0.0,   0.0  0.000000  0.009776   364     0.007   136.906     0.009     0.012
  0.000220  45.0   0.0,   0.0 -0.009998 -0.000220   363  -140.044    -3.082     0.012     0.009
  0.000220  45.0   0.0,   0.0 -0.000000 -0.010216   364     0.007  -143.138     0.009     0.012
  0.000220  45.0  90.0, -90.0 -0.000000 -0.000220   408     0.000     1.908     0.008     0.008
  0.000220  45.0  90.0, -90.0  0.009998 -0.000220   363   140.052     1.930     0.012     0.009
  0.000220  45.0  90.0, -90.0  0.000000  0.009776   364     0.000   141.948     0.009     0.012
  0.000220  45.0  90.0, -90.0 -0.009998 -0.000220   363  -140.052     1.930     0.012     0.009
  0.000220  45.0  90.0, -90.0 -0.000000 -0.010216   364     0.000  -138.094     0.010     0.013
  0.000220  60.0   0.0,   0.0 -0.000000 -0.000381   408     0.007    -5.309     0.007     0.007
  0.000220  60.0   0.0,   0.0  0.009998 -0.000381   364   140.061    -5.338     0.013     0.009
  0.000220  60.0   0.0,   0.0  0.000000  0.009610   364     0.007   134.564     0.009     0.012
  0.000220  60.0   0.0,   0.0 -0.009998 -0.000381   364  -140.045    -5.338     0.012     0.009
  0.000220  60.0   0.0,   0.0 -0.000000 -0.010372   364     0.007  -145.359     0.009     0.012
  0.000220  60.0  90.0, -90.0 -0.000000 -0.000381   408     0.000    -0.336     0.008     0.008
  0.000220  60.0  90.0, -90.0  0.009998 -0.000381   364   140.052    -0.326     0.012     0.009
  0.000220  60.0  90.0, -90.0  0.000000  0.009610   364     0.000   139.604     0.009     0.012
  0.000220  60.0  90.0, -90.0 -0.009998 -0.000381   364  -140.052    -0.326     0.012     0.009
  0.000220  60.0  90.0, -90.0 -0.000000 -0.010372   364     0.000  -140.314     0.010     0.013
